edge_id:int,source_id:int,target_id:int,label_id:int,inc_state:int
456147,39,7091,50,1
1239212,40,7174,50,1
1239213,40,2,51,1
1239211,40,259,50,1
90323,41,42,50,1
1618756,19,7174,50,1
1618755,19,259,50,1
1618758,19,55236,51,1
95238,43,7095,51,1
95235,43,27175,51,1
95236,43,27176,52,1
95443,44,7174,50,1
95444,44,45,51,1
95442,44,259,50,1
4987294,45,7174,50,1
4987296,45,2,51,2
4987293,45,259,50,1
95556,46,47,50,1
100846,62515,62520,50,1
1694791,62519,62520,50,1
1543171,62528,78573,50,1
1543172,62528,40254,50,0
1489843,62529,78573,50,1
1731123,62530,78573,50,1
110250,48,49,50,1
110251,48,50,51,1
110252,48,51,52,1
110954,50,49,50,1
4739846,51,49,50,1
4739847,51,50,51,1
568669,52,53,50,1
568670,52,54,50,1
112523,55,68397,50,1
112526,55,56,125,1
5832720,56,68397,50,1
114891,69595,5667,50,1
3171069,69599,5667,50,1
972167,69600,5667,50,1
3703028,69604,5667,50,1
117952,57,58,50,1
117953,57,59,51,1
117954,57,60,52,1
8604397,59,58,50,1
8604398,59,58,50,1
8884538,60,58,50,1
8884539,60,59,51,1
8884540,60,61,51,1
118621,71425,71427,50,1
119034,62,7095,50,1
119455,63,64,50,0
119514,65,64,50,1
121914,73089,62520,50,1
420513,73095,78573,50,1
556484,73096,78573,50,1
1472954,73097,78573,50,0
121956,73129,73130,50,1
121973,73133,73140,50,1
813170,73144,203819,50,1
1833673,73145,78573,50,1
2756291,73149,203819,50,1
460868,66,7091,50,1
123794,67,68,50,1
123849,69,70,50,1
123906,71,70,50,1
123907,71,72,51,1
2034446,72,70,50,1
7138810,74747,5667,50,1
126916,75881,75883,50,1
1733266,75882,75883,50,1
126921,75885,75883,50,1
798558,75956,73140,50,1
127859,76408,76411,50,1
455222,73,7091,50,1
128315,76688,76689,50,1
128362,76710,76689,50,1
129237,74,7091,50,1
129238,74,66,51,1
132121,78571,78573,50,1
134212,79647,5667,50,1
7337792,79649,149158,50,1
134494,75,7091,50,1
3229696,76,77,50,1
3229697,76,77,51,1
1015969,88049,203819,50,1
1691697,88059,203819,50,1
1122193,88061,203819,50,0
151676,78,88415,50,1
151675,78,173,50,1
151677,78,40677,51,1
172621,79,7091,50,1
172622,79,40297,51,1
172623,79,22,51,2
172624,79,80,51,1
172626,79,25969,51,1
4124565,80,40297,51,1
4124566,80,22,51,1
341879,81,82,50,1
341880,81,83,51,1
341881,81,143561,52,1
343545,144299,34281,50,1
535397,144303,149158,50,0
2747354,144304,5667,50,1
1490178,144305,75883,50,1
840111,144306,149158,50,1
495581,84,7091,50,1
495582,84,73,51,1
495583,84,25969,51,1
350714,147428,62520,50,1
482549,147430,78573,50,0
2163385,147431,78573,50,1
350931,147550,10653,50,0
8410852,147558,10653,50,1
354206,148783,78573,50,1
732854,148786,78573,50,1
1065941,148787,78573,50,1
1678243,148788,78573,50,1
4836470,148789,78573,50,1
355144,149156,149158,50,1
877093,149160,149158,50,1
1273170,149161,75883,50,1
474920,85,7091,50,1
474925,85,25969,51,1
358475,86,7091,50,1
358478,86,25969,51,1
363096,151535,78573,50,2
1342690,151537,62520,50,1
1342691,151537,78573,50,1
11840557,151538,78573,50,1
8444116,151539,175492,50,1
1045402,151540,62520,50,1
1045403,151540,78573,50,0
1400744,151542,78573,50,1
4603769,151544,78573,50,2
4603770,151544,78573,50,1
366798,87,153050,50,2
366799,87,88,51,1
366800,87,88,52,1
366801,87,88,125,1
3578315,88,153050,50,1
370285,89,7174,50,1
370286,89,45,51,1
