edge_id:int,source_id:int,target_id:int,label_id:int
386078,161560,257,48
386079,161560,258,49
388735,162657,56958,48
388736,162657,2632,49
505738,162658,2632,49
505739,162658,2634,48
4552964,162660,56958,48
4552965,162660,2632,49
752232,162661,56958,48
752233,162661,2632,49
389420,162897,2632,49
389422,162897,2634,48
490744,162898,2634,48
390679,163391,257,48
390680,163391,258,49
393992,164637,257,48
393993,164637,258,49
575103,164638,257,48
575104,164638,258,49
662223,164639,257,48
662224,164639,258,49
3177901,167045,46509,48
12734381,176259,257,48
12734382,176259,258,49
2151444,177131,46509,48
506386,177132,46509,48
426477,177966,257,48
426478,177966,2193,49
426479,177966,101021,49
438562,183749,257,48
438563,183749,258,49
439756,184206,257,48
439757,184206,258,49
441612,184996,257,48
441613,184996,258,49
5815816,185046,2871,49
5815817,185046,2634,48
5815818,185046,2872,49
5857039,185047,2871,49
5857042,185047,2634,48
5857043,185047,2872,49
3864323,185048,2871,49
3864327,185048,2634,48
3864328,185048,2872,49
442966,185528,257,48
442967,185528,258,49
2491070,186410,257,48
2491071,186410,258,49
445208,186413,257,48
445209,186413,258,49
445819,186627,949,48
447412,186628,949,48
446642,186963,949,48
447633,187329,949,48
451668,189070,70579,49
451670,189070,2872,49
9786423,189071,2634,48
9786422,189071,70579,49
9786424,189071,2872,49
455458,190529,257,48
455459,190529,258,49
1196280,190725,2634,48
457864,191483,257,48
457865,191483,258,49
458085,191559,257,48
458086,191559,258,49
458087,191559,6980,49
461906,193018,257,48
461907,193018,258,49
463201,193494,13526,48
465074,194236,257,48
465075,194236,258,49
466398,194694,257,48
466399,194694,258,49
466497,194738,257,48
466498,194738,258,49
467287,195050,257,48
467288,195050,258,49
4515296,195257,257,48
4515297,195257,258,49
469595,195866,257,48
469596,195866,258,49
470215,196120,257,48
470216,196120,258,49
474626,197864,257,48
474627,197864,258,49
475196,198062,257,48
475197,198062,258,49
496210,199320,257,48
496211,199320,258,49
479780,199950,257,48
479781,199950,258,49
6340423,200376,257,48
6340424,200376,258,49
482772,201239,257,48
482773,201239,258,49
6792923,201240,257,48
6792924,201240,258,49
785593,202041,257,48
785594,202041,258,49
486563,202800,257,48
486564,202800,258,49
486790,202893,257,48
486791,202893,258,49
487395,203167,257,48
487396,203167,258,49
488407,203600,257,48
488408,203600,258,49
489275,203952,257,48
489276,203952,258,49
489759,204109,56958,48
489760,204109,2632,49
3673857,204110,2632,49
3673859,204110,2634,48
2009664,204111,2632,49
2009667,204111,2634,48
1618018,204112,2632,49
1618022,204112,2634,48
490441,204394,257,48
490442,204394,258,49
490456,204397,257,48
490457,204397,258,49
495340,206491,257,48
495341,206491,258,49
495851,206698,257,48
495852,206698,258,49
497518,207356,949,48
497521,207356,44390,48
500329,208468,257,48
500330,208468,52845,49
500331,208468,73329,49
501449,208812,257,48
501450,208812,258,49
501451,208812,6980,49
503340,209661,257,48
503341,209661,258,49
505115,210473,257,48
505116,210473,258,49
513613,213989,257,48
513614,213989,258,49
652625,216226,257,48
652626,216226,258,49
2285637,219548,46509,48
530704,219683,257,48
530705,219683,258,49
530714,219685,257,48
530715,219685,258,49
531641,220082,257,48
531642,220082,258,49
532575,220382,257,48
532576,220382,258,49
533160,220556,257,48
533161,220556,258,49
667328,221261,257,48
667329,221261,258,49
555034,221775,257,48
555035,221775,258,49
536121,221781,257,48
536122,221781,258,49
536134,221787,257,48
536135,221787,258,49
8400934,221788,257,48
8400935,221788,258,49
537208,222215,257,48
537209,222215,258,49
539831,223224,257,48
539832,223224,258,49
539865,223238,257,48
539866,223238,258,49
565022,223726,257,48
565023,223726,258,49
541016,223784,257,48
541017,223784,258,49
542136,224211,257,48
542137,224211,258,49
544066,224938,257,48
544067,224938,258,49
3611195,224939,257,48
3611196,224939,258,49
545295,225415,257,48
545296,225415,258,49
547476,226259,46509,48
554772,229201,949,48
554773,229201,28599,48
567600,234419,257,48
567601,234419,258,49
567683,234421,257,48
567684,234421,258,49
567654,234442,257,48
567655,234442,258,49
568589,234773,46509,48
5081687,234774,46509,48
5081688,234774,58279,48
5081689,234774,58285,49
5081690,234774,60844,49
3488818,235768,46509,48
3488819,235768,58285,49
4854601,235769,46509,48
4854602,235769,58285,49
1925103,235770,46509,48
1925104,235770,58285,49
571567,235869,56958,48
571568,235869,2632,49
1956238,235872,56958,48
1956239,235872,2632,49
572539,236392,236393,48
572540,236392,70579,49
837903,236396,56958,48
837904,236396,70579,49
574903,237332,257,48
574904,237332,258,49
579393,239025,257,48
579394,239025,258,49
4662303,239029,257,48
4662304,239029,258,49
581768,239965,257,48
581769,239965,258,49
4072053,241266,46509,48
585774,241545,257,48
585775,241545,258,49
588002,242423,257,48
588003,242423,258,49
594761,245048,257,48
594762,245048,258,49
667553,245690,257,48
667554,245690,258,49
597797,246199,257,48
597798,246199,258,49
597799,246199,6980,49
599698,246848,257,48
599699,246848,258,49
599700,246848,6980,49
600655,247097,2634,48
600656,247097,2872,49
600654,247097,37557,49
600936,247200,37557,49
600938,247200,2634,48
600939,247200,2872,49
608201,249914,257,48
608202,249914,258,49
6890321,249916,257,48
6890322,249916,258,49
611102,250997,257,48
611103,250997,258,49
12506185,251338,56958,48
12506186,251338,2632,49
613928,252087,56958,48
613929,252087,70577,49
9734370,252088,56958,48
614423,252255,257,48
614424,252255,258,49
614425,252255,6980,49
3801617,252536,573161,49
3801618,252536,14600,49
615459,252694,257,48
615460,252694,258,49
619347,254163,257,48
619348,254163,258,49
6798800,254495,257,48
6798801,254495,258,49
622387,255167,257,48
622388,255167,258,49
622555,255217,257,48
622556,255217,258,49
622557,255217,6980,49
622589,255222,257,48
