edge_id:int64,source_id:int64,target_id:int64,label_id:int,graph_id:int
2,1,2,51,167
3,2,3,49,167
1,1,0,125,168
2,1,2,51,168
3,2,3,49,168
1,1,0,125,169
2,1,2,51,169
3,2,3,49,169
1,1,0,49,170
2,2,1,50,170
3,2,3,52,170
1,1,0,49,171
2,2,1,50,171
3,2,3,52,171
1,1,0,49,172
2,2,1,50,172
3,2,3,52,172
1,1,0,49,173
2,2,1,50,173
3,2,3,52,173
1,1,0,49,174
2,2,1,50,174
3,2,3,52,174
1,1,0,49,175
2,2,1,50,175
3,2,3,52,175
1,1,0,49,176
2,2,1,50,176
3,2,3,52,176
1,1,0,49,177
2,2,1,50,177
3,2,3,52,177
1,1,0,49,178
2,2,1,50,178
3,2,3,52,178
1,1,0,49,179
2,2,1,50,179
3,2,3,52,179
1,1,0,49,180
2,2,1,50,180
3,2,3,52,180
1,1,0,125,181
2,1,2,50,181
3,2,3,48,181
1,1,0,125,182
2,1,2,50,182
3,2,3,48,182
1,1,0,125,183
2,1,2,50,183
3,2,3,48,183
1,1,0,125,184
2,1,2,50,184
3,2,3,48,184
1,1,0,125,185
2,1,2,50,185
3,2,3,48,185
1,1,0,125,186
2,1,2,50,186
3,2,3,48,186
1,1,0,125,187
2,1,2,50,187
3,2,3,48,187
1,1,0,125,188
2,1,2,50,188
3,2,3,48,188
1,1,0,125,189
2,1,2,50,189
3,2,3,48,189
1,1,0,125,190
2,1,2,50,190
3,2,3,48,190
1,1,0,125,191
2,1,2,50,191
3,2,3,48,191
1,1,0,48,192
2,2,0,48,192
3,3,2,49,192
1,1,0,48,193
2,2,0,48,193
3,3,2,49,193
1,1,0,48,194
2,2,0,48,194
3,3,2,49,194
1,1,0,48,195
2,2,0,48,195
3,3,2,49,195
1,1,0,48,196
2,2,0,48,196
3,3,2,49,196
1,1,0,48,197
2,2,0,48,197
3,3,2,49,197
1,1,0,48,198
2,2,0,48,198
3,3,2,49,198
1,1,0,48,199
2,2,0,48,199
3,3,2,49,199
1,1,0,48,200
2,2,0,48,200
3,3,2,49,200
1,1,0,48,201
2,2,0,48,201
3,3,2,49,201
1,1,0,49,202
2,2,1,50,202
3,2,3,51,202
1,1,0,49,203
2,2,1,50,203
3,2,3,51,203
1,1,0,49,204
2,2,1,50,204
3,2,3,51,204
1,1,0,49,205
2,2,1,50,205
3,2,3,51,205
1,1,0,49,206
2,2,1,50,206
3,2,3,51,206
1,1,0,49,207
2,2,1,50,207
3,2,3,51,207
1,1,0,49,208
2,2,1,50,208
3,2,3,51,208
1,1,0,49,209
2,2,1,50,209
3,2,3,51,209
1,1,0,49,210
2,2,1,50,210
3,2,3,51,210
1,1,0,49,211
2,2,1,50,211
3,2,3,51,211
1,1,0,49,212
2,2,1,50,212
3,2,3,51,212
1,1,0,49,213
2,1,2,50,213
3,2,3,49,213
1,1,0,49,214
2,1,2,50,214
3,2,3,49,214
1,1,0,49,215
2,1,2,50,215
3,2,3,49,215
1,1,0,49,216
2,1,2,50,216
3,2,3,49,216
1,1,0,49,217
2,1,2,50,217
3,2,3,49,217
1,1,0,49,218
2,1,2,50,218
3,2,3,49,218
1,1,0,49,219
2,1,2,50,219
3,2,3,49,219
1,1,0,49,220
2,1,2,50,220
3,2,3,49,220
1,1,0,49,221
2,1,2,50,221
3,2,3,49,221
1,1,0,49,222
2,1,2,50,222
3,2,3,49,222
1,1,0,49,223
2,1,2,50,223
3,2,3,48,223
1,1,0,49,224
2,1,2,50,224
3,2,3,48,224
1,1,0,49,225
2,1,2,50,225
3,2,3,48,225
1,1,0,49,226
2,1,2,50,226
3,2,3,48,226
1,1,0,49,227
2,1,2,50,227
3,2,3,48,227
1,1,0,49,228
2,1,2,50,228
3,2,3,48,228
1,1,0,49,229
2,1,2,50,229
3,2,3,48,229
1,1,0,49,230
2,1,2,50,230
3,2,3,48,230
1,1,0,49,231
2,1,2,50,231
3,2,3,48,231
1,1,0,49,232
2,1,2,50,232
3,2,3,48,232
1,1,0,49,233
2,1,2,50,233
3,2,3,48,233
1,1,0,49,234
2,2,1,50,234
3,2,3,48,234
1,1,0,49,235
2,2,1,50,235
3,2,3,48,235
1,1,0,49,236
2,2,1,50,236
3,2,3,48,236
1,1,0,49,237
2,2,1,50,237
3,2,3,48,237
1,1,0,49,238
2,2,1,50,238
3,2,3,48,238
1,1,0,49,239
2,2,1,50,239
3,2,3,48,239
1,1,0,49,240
2,2,1,50,240
3,2,3,48,240
1,1,0,49,241
2,2,1,50,241
3,2,3,48,241
1,1,0,49,242
2,2,1,50,242
3,2,3,48,242
1,1,0,49,243
2,2,1,50,243
3,2,3,48,243
1,1,0,49,244
2,2,1,50,244
3,2,3,48,244
1,1,0,52,245
2,1,2,51,245
3,2,3,49,245
1,1,0,52,246
2,1,2,51,246
3,2,3,49,246
1,1,0,52,247
2,1,2,51,247
3,2,3,49,247
1,1,0,52,248
2,1,2,51,248
3,2,3,49,248
