type,x_id,x_attr,y_id,y_attr,edge_label,c,gar_id
Edge,1,,3,,49,,370
Edge,1,,2,,49,,371
Edge,1,,2,,49,,372
Edge,1,,3,,48,,373
Edge,1,,3,,49,,374
Edge,1,,2,,49,,375
Edge,1,,2,,49,,376
Edge,1,,3,,48,,377
Edge,1,,4,,49,,378
Edge,1,,2,,49,,379
Edge,1,,3,,49,,380
Edge,2,,3,,49,,381
Edge,3,,0,,48,,382
Edge,3,,0,,48,,383
Edge,3,,0,,48,,384
Edge,3,,0,,48,,385
Edge,3,,0,,48,,386
Edge,3,,0,,48,,387
Edge,3,,0,,48,,388
Edge,3,,0,,49,,389
Edge,3,,0,,49,,390
Edge,3,,0,,49,,391
Edge,3,,0,,49,,392
Edge,3,,0,,49,,393
Edge,3,,0,,49,,394
Edge,3,,0,,49,,395
Edge,3,,0,,49,,396
Edge,3,,0,,49,,397
Edge,4,,1,,49,,398
Edge,4,,1,,49,,399
Edge,4,,1,,49,,400
Edge,4,,1,,49,,401
Edge,4,,1,,49,,402
Edge,4,,1,,49,,403
Edge,4,,1,,49,,404
Edge,4,,1,,49,,405
Edge,4,,1,,49,,406
Edge,4,,1,,49,,407
Edge,4,,1,,49,,408
Edge,1,,3,,48,,409
Edge,1,,3,,48,,410
Edge,1,,3,,48,,411
Edge,1,,3,,48,,412
Edge,1,,3,,48,,413
Edge,1,,3,,48,,414
Edge,1,,3,,48,,415
Edge,1,,3,,48,,416
Edge,1,,3,,48,,417
Edge,2,,0,,49,,418
Edge,2,,0,,49,,419
Edge,2,,0,,49,,420
Edge,2,,0,,49,,421
Edge,2,,0,,49,,422
Edge,2,,0,,49,,423
Edge,2,,0,,49,,424
Edge,2,,0,,49,,425
Edge,2,,0,,49,,426
Edge,3,,0,,49,,427
Edge,3,,0,,49,,428
Edge,3,,0,,49,,429
Edge,3,,0,,49,,430
Edge,3,,0,,49,,431
Edge,3,,0,,49,,432
Edge,3,,0,,49,,433
Edge,3,,0,,49,,434
Edge,3,,0,,49,,435
Edge,3,,0,,49,,436
Edge,3,,0,,49,,437
Edge,3,,0,,48,,438
Edge,3,,0,,48,,439
Edge,3,,0,,48,,440
Edge,3,,0,,48,,441
Edge,3,,0,,48,,442
Edge,3,,0,,48,,443
Edge,3,,0,,48,,444
Edge,3,,0,,48,,445
Edge,2,,0,,49,,446
Edge,2,,0,,49,,447
Edge,2,,0,,49,,448
Edge,2,,0,,49,,449
Edge,2,,0,,49,,450
Edge,2,,0,,49,,451
Edge,2,,0,,49,,452
Edge,2,,0,,49,,453
Edge,2,,0,,49,,454
Edge,3,,0,,49,,455
Edge,3,,0,,49,,456
Edge,3,,0,,49,,457
Edge,3,,0,,49,,458
Edge,3,,0,,49,,459
Edge,3,,0,,49,,460
Edge,3,,0,,49,,461
Edge,3,,0,,49,,462
Edge,3,,0,,49,,463
Edge,3,,0,,49,,464
Edge,3,,0,,49,,465
Edge,3,,0,,49,,466
Edge,3,,0,,49,,467
Edge,3,,0,,49,,468
Edge,3,,0,,49,,469
Edge,3,,0,,49,,470
Edge,3,,0,,49,,471
Edge,3,,0,,49,,472
Edge,3,,0,,49,,473
Edge,3,,0,,49,,474
Edge,3,,0,,49,,475
Edge,2,,0,,49,,476
Edge,2,,0,,49,,477
Edge,2,,0,,49,,478
Edge,2,,0,,49,,479
Edge,2,,0,,49,,480
Edge,2,,0,,49,,481
Edge,2,,0,,49,,482
Edge,2,,0,,49,,483
Edge,2,,0,,49,,484
Edge,2,,0,,49,,485
Edge,2,,0,,49,,486
Edge,2,,0,,49,,487
Edge,2,,0,,49,,488
Edge,2,,0,,49,,489
Edge,2,,0,,49,,490
Edge,2,,0,,49,,491
Edge,2,,0,,49,,492
Edge,2,,0,,49,,493
Edge,2,,0,,49,,494
Edge,1,,3,,48,,495
Edge,1,,3,,48,,496
Edge,1,,3,,48,,497
Edge,1,,3,,48,,498
Edge,1,,3,,48,,499
Edge,1,,3,,48,,500
Edge,1,,3,,48,,501
Edge,1,,3,,48,,502
Edge,1,,3,,48,,503
Edge,1,,3,,48,,504
Edge,1,,3,,48,,505
Edge,2,,0,,49,,506
Edge,2,,0,,49,,507
Edge,2,,0,,49,,508
Edge,2,,0,,49,,509
Edge,2,,0,,49,,510
Edge,2,,0,,49,,511
Edge,2,,0,,49,,512
Edge,2,,0,,49,,513
Edge,2,,0,,49,,514
Edge,2,,0,,49,,515
Edge,3,,0,,49,,516
Edge,3,,0,,49,,517
Edge,3,,0,,49,,518
Edge,3,,0,,49,,519
Edge,3,,0,,49,,520
Edge,3,,0,,49,,521
Edge,3,,0,,49,,522
Edge,3,,0,,49,,523
Edge,3,,0,,49,,524
Edge,3,,0,,49,,525
Edge,3,,0,,49,,526
Edge,3,,0,,49,,527
Edge,3,,0,,49,,528
Edge,3,,0,,49,,529
Edge,3,,0,,49,,530
Edge,3,,0,,49,,531
Edge,3,,0,,49,,532
Edge,3,,0,,49,,533
Edge,3,,0,,49,,534
Edge,3,,0,,49,,535
Edge,3,,0,,49,,536
Edge,1,,3,,48,,537
Edge,1,,3,,48,,538
Edge,1,,3,,48,,539
Edge,1,,3,,48,,540
Edge,1,,3,,48,,541
Edge,1,,3,,48,,542
Edge,1,,3,,48,,543
Edge,1,,3,,48,,544
Edge,1,,3,,48,,545
Edge,1,,3,,48,,546
Edge,3,,0,,49,,547
Edge,3,,0,,49,,548
Edge,3,,0,,49,,549
Edge,3,,0,,49,,550
Edge,3,,0,,49,,551
Edge,3,,0,,49,,552
Edge,3,,0,,49,,553
Edge,3,,0,,49,,554
Edge,3,,0,,49,,555
Edge,3,,0,,49,,556
Edge,3,,0,,49,,557
Edge,1,,3,,48,,558
Edge,1,,3,,48,,559
Edge,1,,3,,48,,560
Edge,1,,3,,48,,561
Edge,1,,3,,48,,562
Edge,1,,3,,48,,563
Edge,1,,3,,48,,564
Edge,1,,3,,48,,565
Edge,1,,3,,48,,566
Edge,1,,3,,48,,567
Edge,1,,3,,48,,568
Edge,2,,0,,49,,569
Edge,2,,0,,49,,570
Edge,2,,0,,49,,571
Edge,2,,0,,49,,572
Edge,2,,0,,49,,573
Edge,2,,0,,49,,574
Edge,2,,0,,49,,575
Edge,2,,0,,49,,576
Edge,2,,0,,49,,577
Edge,2,,0,,49,,578
Edge,2,,0,,49,,579
Edge,2,,0,,49,,580
Edge,2,,0,,49,,581
Edge,2,,0,,49,,582
Edge,2,,0,,49,,583
Edge,2,,0,,49,,584
Edge,2,,0,,49,,585
Edge,2,,0,,49,,586
Edge,2,,0,,49,,587
Edge,3,,0,,49,,588
Edge,3,,0,,49,,589
