edge_id:int,source_id:int,target_id:int,label_id:int,inc_state:int
458087,191559,6980,49,1
461906,193018,257,48,1
461907,193018,258,49,1
463201,193494,13526,48,1
465074,194236,257,48,1
465075,194236,258,49,1
466398,194694,257,48,1
466399,194694,258,49,1
466497,194738,257,48,1
466498,194738,258,49,1
467287,195050,257,48,1
467288,195050,258,49,1
4515296,195257,257,48,1
4515297,195257,258,49,1
469595,195866,257,48,1
469596,195866,258,49,1
470215,196120,257,48,1
470216,196120,258,49,1
474626,197864,257,48,0
474627,197864,258,49,1
475196,198062,257,48,1
475197,198062,258,49,2
496210,199320,257,48,1
496211,199320,258,49,1
479780,199950,257,48,1
479781,199950,258,49,1
6340423,200376,257,48,1
6340424,200376,258,49,1
482772,201239,257,48,1
482773,201239,258,49,1
6792923,201240,257,48,1
6792924,201240,258,49,1
785593,202041,257,48,1
785594,202041,258,49,1
486563,202800,257,48,1
486564,202800,258,49,1
486790,202893,257,48,0
486791,202893,258,49,0
487395,203167,257,48,2
487396,203167,258,49,1
488407,203600,257,48,1
488408,203600,258,49,1
489275,203952,257,48,1
489276,203952,258,49,1
489759,204109,56958,48,1
489760,204109,2632,49,1
3673857,204110,2632,49,1
3673859,204110,2634,48,1
2009664,204111,2632,49,0
2009667,204111,2634,48,1
1618018,204112,2632,49,1
1618022,204112,2634,48,1
490441,204394,257,48,1
490442,204394,258,49,1
490456,204397,257,48,1
490457,204397,258,49,1
495340,206491,257,48,1
495341,206491,258,49,1
495851,206698,257,48,1
495852,206698,258,49,1
497518,207356,949,48,1
497521,207356,44390,48,1
500329,208468,257,48,0
500330,208468,52845,49,1
500331,208468,73329,49,1
501449,208812,257,48,1
501450,208812,258,49,1
501451,208812,6980,49,1
503340,209661,257,48,1
503341,209661,258,49,1
505115,210473,257,48,1
505116,210473,258,49,1
513613,213989,257,48,0
513614,213989,258,49,1
652625,216226,257,48,0
652626,216226,258,49,1
2285637,219548,46509,48,1
530704,219683,257,48,1
530705,219683,258,49,1
530714,219685,257,48,1
530715,219685,258,49,1
531641,220082,257,48,1
531642,220082,258,49,1
532575,220382,257,48,1
532576,220382,258,49,1
533160,220556,257,48,1
533161,220556,258,49,1
667328,221261,257,48,1
667329,221261,258,49,1
555034,221775,257,48,0
555035,221775,258,49,1
536121,221781,257,48,1
536122,221781,258,49,1
536134,221787,257,48,1
536135,221787,258,49,1
8400934,221788,257,48,1
8400935,221788,258,49,1
537208,222215,257,48,1
537209,222215,258,49,1
539831,223224,257,48,1
539832,223224,258,49,1
539865,223238,257,48,1
539866,223238,258,49,1
565022,223726,257,48,1
565023,223726,258,49,0
541016,223784,257,48,1
541017,223784,258,49,2
542136,224211,257,48,1
542137,224211,258,49,1
544066,224938,257,48,0
544067,224938,258,49,1
3611195,224939,257,48,1
3611196,224939,258,49,1
545295,225415,257,48,0
545296,225415,258,49,1
547476,226259,46509,48,1
554772,229201,949,48,1
554773,229201,28599,48,1
567600,234419,257,48,1
567601,234419,258,49,1
567683,234421,257,48,1
567684,234421,258,49,0
567654,234442,257,48,1
567655,234442,258,49,1
568589,234773,46509,48,1
5081687,234774,46509,48,1
5081688,234774,58279,48,1
5081689,234774,58285,49,1
5081690,234774,60844,49,1
3488818,235768,46509,48,1
3488819,235768,58285,49,1
4854601,235769,46509,48,1
4854602,235769,58285,49,1
1925103,235770,46509,48,2
1925104,235770,58285,49,1
571567,235869,56958,48,1
571568,235869,2632,49,0
1956238,235872,56958,48,1
1956239,235872,2632,49,1
572539,236392,236393,48,1
572540,236392,70579,49,1
837903,236396,56958,48,1
837904,236396,70579,49,1
574903,237332,257,48,1
574904,237332,258,49,1
579393,239025,257,48,1
579394,239025,258,49,1
4662303,239029,257,48,1
4662304,239029,258,49,1
581768,239965,257,48,1
581769,239965,258,49,1
4072053,241266,46509,48,1
585774,241545,257,48,1
585775,241545,258,49,1
588002,242423,257,48,1
588003,242423,258,49,1
594761,245048,257,48,1
594762,245048,258,49,1
667553,245690,257,48,1
667554,245690,258,49,1
597797,246199,257,48,1
597798,246199,258,49,1
597799,246199,6980,49,1
599698,246848,257,48,1
599699,246848,258,49,1
599700,246848,6980,49,1
600655,247097,2634,48,1
600656,247097,2872,49,1
600654,247097,37557,49,1
600936,247200,37557,49,1
600938,247200,2634,48,1
600939,247200,2872,49,1
608201,249914,257,48,1
608202,249914,258,49,1
6890321,249916,257,48,1
6890322,249916,258,49,2
611102,250997,257,48,1
611103,250997,258,49,2
12506185,251338,56958,48,1
12506186,251338,2632,49,1
613928,252087,56958,48,1
613929,252087,70577,49,2
9734370,252088,56958,48,1
614423,252255,257,48,1
614424,252255,258,49,1
614425,252255,6980,49,1
