vertex_id:int,label_id:int,attr:string,rand:int
255836,1,Sphenomorphus,9
255926,1,Chipping_sparrow,7
257636,1,Cettia,7
257808,1,Eastern_whip-poor-will,3
257906,1,Bradypterus,3
258574,1,Pterichthyodes,5
259958,1,Red-headed_woodpecker,7
259959,1,Red-bellied_woodpecker,6
265251,1,Ursinae,8
265751,1,Anomaluromorpha,1
267513,1,Marchantiophyta,2
269235,1,Omura's_whale,9
269619,1,Black_rhinoceros,4
269626,1,Terek_sandpiper,2
271290,1,Schistosoma,9
271398,1,Scops_owl,4
271907,1,True_frog,2
273619,1,Pectoral_sandpiper,9
274782,1,Commerson's_dolphin,6
280103,1,Proteidae,0
281730,1,Asiatic_salamander,9
284836,1,Haviside's_dolphin,4
287329,1,Brine_shrimp,9
287330,1,Anostraca,7
290332,1,Hector's_dolphin,1
290674,1,Rough-toothed_dolphin,5
296544,1,Cottontail_rabbit,0
297567,1,Swan_goose,6
298597,1,Marsh_wren,7
298886,1,House_wren,6
300621,1,Fraser's_dolphin,4
301688,1,Glycera_(genus),6
301689,1,Phyllodocida,5
301690,1,Glyceridae,6
301928,1,Amanita_pantherina_var._pantherina,4
302270,1,Greater_spotted_eagle,8
302614,1,Peale's_dolphin,3
305149,1,Atlantic_spotted_dolphin,7
305150,1,Stenella,3
310273,1,Pantropical_spotted_dolphin,9
310684,1,Salamandra,4
310811,1,Spinner_dolphin,2
312875,1,Pompeii_worm,6
312876,1,Terebellida,2
312877,1,Alvinellidae,0
313510,1,Striped_dolphin,2
313857,1,Atlantic_white-sided_dolphin,2
313978,1,Pacific_white-sided_dolphin,7
314115,1,Pygmy_sperm_whale,1
314516,1,Bacteroidetes,0
316380,1,Scutigera_coleoptrata,8
316381,1,Scutigeridae,1
316567,1,Clepsydra_(genus),7
317081,1,Sea_pen,6
317550,1,Clostridium_perfringens,1
319495,1,Tufted_titmouse,9
322139,1,Swiftlet,1
327731,1,Elasmotherium,0
331222,1,Giant_kangaroo_rat,4
333759,1,Nereis,9
333760,1,Nereididae,3
336962,1,Greyish_saltator,2
342575,1,Fissidens_adianthoides,2
342576,1,Bryopsida,9
342577,1,Dicranidae,0
342578,1,Dicranales,3
342579,1,Fissidentaceae,0
342580,1,Fissidens,3
342988,1,Pavo_(genus),3
343830,1,Giant_tube_worm,6
344278,1,Spider_monkey,1
349162,1,Horornis,7
349479,1,Chondrophore,2
352117,1,White-headed_duck,0
356926,1,Bombinatoridae,9
357200,1,Mesobatrachia,6
357817,1,Phytophthora_ramorum,7
357818,1,Pythiales,4
362992,1,Greater_flameback,1
363312,1,Nicobar_pigeon,5
363391,1,Siren_(genus),9
366959,1,Natricinae,3
377749,1,Common_hill_myna,1
379185,1,Sphagnum,9
379186,1,Sphagnopsida,1
379187,1,Sphagnales,3
379188,1,Sphagnaceae,8
380912,1,Matricaria_chamomilla,3
383384,1,Olm,8
384859,1,Clionaidae,5
385015,1,Hormathiidae,9
406197,1,Eobalaenoptera,9
417028,1,Scolopendra_heros,3
417029,1,Scolopendridae,6
417030,1,Scolopendra,2
418480,1,Clostridium_acetobutylicum,4
420584,1,Aequorea_victoria,9
421216,1,Sea_pansy,6
422914,1,California_tiger_salamander,5
426510,1,Common_potoo,1
427017,1,Lamprophiidae,7
428798,1,Amanita_virosa,0
437222,1,Homalopsinae,3
437439,1,Erysipelothrix_rhusiopathiae,9
437440,1,Erysipelotrichia,0
437442,1,Erysipelothrix,3
441176,1,Scaly-sided_merganser,1
443440,1,Osedax,3
443441,1,Sabellida,9
447678,1,African_stonechat,0
453267,1,Didelphodon,3
453269,1,Stagodontidae,2
453448,1,Coelacanthidae,5
453991,1,Irritator,3
457943,1,Great_star_coral,4
465872,1,Ascidiacea,4
465880,1,Ascidia,5
465881,1,Enterogona,1
465882,1,Phlebobranchia,0
465883,1,Ascidiidae,0
466443,1,Ichthyophis,1
468358,1,Saccocirridae,2
468857,1,Gnetum,2
468858,1,Gnetum_macrostachyum,2
479994,1,Tylenchida,4
487336,1,Spirogyra,2
495370,1,Rugosa,7
497345,1,Lycopodium,5
497389,1,Hijiki,2
497390,1,Sargassaceae,2
497391,1,Sargassum,8
498311,1,Wakame,6
498312,1,Alariaceae,9
499042,1,Fasciolopsis,2
506266,1,Parvicursor,2
507302,1,Litopterna,8
508626,1,Pillar_coral,4
510196,1,Planaria,1
510198,1,Tricladida,9
510200,1,Planariidae,0
512460,1,Amanita_porphyria,9
513902,1,Barapasaurus,9
516617,1,Notostraca,0
518734,1,Lepidodendron,6
518735,1,Lepidodendrales,6
522817,1,Bruhathkayosaurus,0
524053,1,Herdmania_momus,1
524054,1,Pleurogona,6
524055,1,Stolidobranchia,4
524056,1,Pyuridae,9
524231,1,Pliopithecidae,5
525265,1,Microphallus_piriformes,1
525268,1,Microphallus,1
525785,1,Hesiocaeca_methanicola,0
525786,1,Hesionidae,7
530551,1,Papagomys,5
531934,1,Clam_shrimp,2
535324,1,Stichodactylidae,9
535797,1,Syrmaticus,9
537793,1,Cystophora_(alga),9
538125,1,Tremarctinae,0
544553,1,Lessoniaceae,6
544851,1,Nereocystis,2
544852,1,Laminariaceae,4
554853,1,Soybean_rust,8
554854,1,Phakopsoraceae,0
559767,1,Black-bellied_whistling_duck,1
561198,1,Chauna,9
561717,1,Qantassaurus,1
570508,1,Green_hermit,6
570509,1,Phaethornis,7
572969,1,Fomitopsidaceae,0
573161,1,Lobosa,2
574372,1,Coccidia,5
582881,1,Heliobacteria,1
585250,1,Fasciola_hepatica,5
585253,1,Fasciola,8
588453,1,White_hawk,1
588468,1,Hormosira,6
589559,1,Microascales,1
589560,1,Ceratocystidaceae,2
594815,1,Triops,2
595354,1,Geobacter,6
595355,1,Desulfuromonadales,0
598724,1,Mylodontidae,6
599044,1,Syntrophobacterales,9
599054,1,Desulfovibrionales,6
599085,1,Desulfurellaceae,8
599255,1,Orophodontidae,0
599256,1,Pelobacteraceae,8
599257,1,Scelidotheriinae,6
599319,1,Desulfobacteraceae,7
599361,1,Desulfobulbaceae,5
600633,1,Isoetes_louisianensis,4
601070,1,Condylarth,9
602884,1,Ptolemaiida,0
620353,1,Eunice_aphroditois,4
620354,1,Eunicida,8
620355,1,Eunicidae,0
620356,1,Eunice_(genus),6
620990,1,Gnetum_gnemon,2
626487,1,Phytophthora_cinnamomi,3
633118,1,Isoetes_lacustris,8
634621,1,Lophelia,1
640634,1,Huperzia_lucidula,3
643827,1,Trichinella_spiralis,9
643828,1,Trichinella,3
647675,1,Short-tailed_hopping_mouse,1
650284,1,Marchantiales,8
659246,1,Fasciola_gigantica,5
662328,1,Perkinsus_marinus,9
662329,1,Perkinsozoa,3
662330,1,Perkinsea,8
662332,1,Perkinsidae,4
662333,1,Perkinsus,3
663338,1,Funaria,0
663339,1,Funariidae,5
663340,1,Funariales,9
663341,1,Funariaceae,3
664722,1,Pfiesteria_shumwayae,4
671801,1,Rufous-breasted_hermit,0
677222,1,Simplicidentata,6
686151,1,Nedoceratops,3
686233,1,Styracosaurus,5
689676,1,Sea_mouse,0
696056,1,Minium,4
696057,1,Bangiophyceae,2
696179,1,Eubacterium,7
696180,1,Eubacteriaceae,6
698819,1,Ascophyllum,1
698827,1,Alaria_esculenta,8
698828,1,Alaria_(alga),5
699431,1,Jefferson_salamander,0
701037,1,Laminaria,4
701363,1,Clawed_salamander,4
704516,1,Daphnia_galeata,2
704517,1,Daphnia_(subgenus),7
705470,1,Ribeiroia,3
705471,1,Psilostomatidae,7
707110,1,Spermatophyte,0
711658,1,Pipa_(genus),4
711791,1,Lycopodium_clavatum,6
712249,1,Pyura_spinifera,3
712250,1,Pyura,1
714911,1,Diphasiastrum,5
714918,1,Lycopodiella,1
716857,1,Phylloglossum,9
716864,1,Huperzia_selago,4
717307,1,Quaesitosaurus,4
725554,1,New_Zealand_flatworm,0
725555,1,Geoplanidae,8
728047,1,Pale-throated_sloth,9
728048,1,Three-toed_sloth,8
729705,1,Meripilaceae,8
729749,1,Cladorhiza,2
729751,1,Poecilosclerida,2
729753,1,Cladorhizidae,4
729945,1,Liaoceratops,9
732858,1,Propalaeotherium,1
732933,1,Mesonychid,5
734046,1,Megazostrodon,4
735248,1,Dactylochirotida,6
735249,1,Dendrochirotacea,3
735251,1,Apodida,5
